From/to,deport,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139
63,16625,6698,5720,6402,6943,6045,4377,4164,9144,8738,8103,7664,7291,4081,1161,7380,10012,10838,5086,10268,11419,5087,10643,6077,10839,5298,9634,2556,9405,13462,14364,11993,13314,13887,18641,25229,15300,16067,21394,16721,17065,15064,16495,4609,4920,4622,2243,3031,8220,4734,6823,8022,8947,10549,8306,17041,7360,16326,6499,9142,8082,7312,2894,0,6710,7514,2801,16454,15472,14240,17233,8815,4974,5726,6912,10382,16699,9366,5997,2306,9313,9366,11160,10702,10752,11602,12547,12136,12369,11648,9977,12053,12248,13128,13457,9123,9022,6359,6358,9873,10152,10365,10091,9352,10493,10575,12043,12348,12840,15583,15115,18797,18949,18389,18390,19271,26190,19942,18439,17147,18107,18154,18023,14282,16048,13290,8157,9106,10066,10843,10363,10716,10520,9904,10036,9792,8235,11761,13130,13078
64,12465,4200,6253,6936,2394,6579,4910,4476,4166,3423,1583,7071,6698,9777,8589,6787,6517,8826,2852,4996,9143,2852,12615,13340,12812,10372,13284,7630,13055,7657,8457,6188,7509,7564,12121,19836,8781,9548,14875,10201,10546,8545,9975,9769,9552,8920,7316,8104,16220,9808,4325,2217,4265,8220,6294,11139,9332,11018,7033,4483,5944,8200,10321,7427,0,8047,7874,9934,8952,7916,10713,15625,9528,11852,14174,4576,10797,6415,2265,9733,6398,6415,7548,5908,5857,5797,5930,5520,5849,5129,4172,5533,5729,6608,6937,2604,2502,2134,2134,4912,5068,5280,8199,6122,8188,8270,8591,8371,7250,11069,10602,13117,13270,15722,15722,16603,23844,19236,17733,15809,16347,16394,18298,15710,14710,11952,3475,4215,7263,4237,3694,4047,3636,3452,3517,3272,1715,6249,6513,6461
65,8851,4596,2196,2440,7131,1656,3366,3739,9472,8729,8291,12378,12004,11179,8259,12094,6012,4431,5274,10302,7419,5275,8821,13713,4701,7729,18552,7949,18322,12485,13811,11016,12337,13170,18829,17455,15488,16256,21583,16909,17253,15253,16683,11706,14751,11720,6987,7774,15084,7165,4472,8211,7080,5528,4306,9267,5538,8552,2537,9789,11250,13507,9992,7098,6898,0,7545,16642,15660,13523,17421,14489,14806,10716,14547,8146,8925,5366,6185,9403,5313,5366,8183,8837,8888,8949,12735,12325,12557,11836,10165,12241,12437,13316,13645,9311,9210,6687,6687,10202,10374,10587,13506,11428,12229,12311,13602,13711,13667,16409,15942,19623,19776,21062,21062,21943,29184,24576,23073,21116,21654,21700,21991,23200,20016,17259,6139,7333,6648,11032,10551,10904,10708,10092,10225,9980,8423,11949,13318,13266
66,16142,7550,6572,7254,7795,6897,5228,5016,10134,9438,8955,8365,7992,4782,2486,8081,10864,12544,5938,10969,12270,5938,10159,5466,10356,4815,10304,2073,10075,14314,15216,12844,14166,14738,19493,24746,16152,16919,22246,17573,17917,15916,17346,5298,5609,5323,1760,230,7608,4251,7675,8874,9799,11401,9158,16558,6876,15843,7351,9843,8783,8013,3584,3505,7561,8365,0,17305,16324,15091,18084,8203,5663,5114,6300,11233,16216,10217,6848,2995,10165,10217,12011,11553,11604,12454,13398,12988,13220,12500,10828,12904,13100,13980,14308,9975,9874,7211,7210,10725,10853,11066,10792,10053,11194,11276,12743,13049,13541,16284,15816,19497,19650,19090,19091,19972,26861,20642,19140,17848,18778,18824,20816,14953,16749,13991,9009,9957,10918,11695,11215,11568,11372,10756,10888,10644,9086,12612,13982,13930
67,18987,13844,15779,16461,12038,16104,14435,14002,9201,10598,8160,12106,11733,14813,16955,11822,14212,15986,12377,8574,15665,12378,22140,18908,22337,19897,18320,17155,18090,11132,6785,9924,10984,9359,8016,22668,3575,3546,5156,2837,1020,4402,2531,14804,14588,13955,16842,17630,23362,19333,13969,11144,12040,15914,14851,17661,18857,17540,16558,9518,10025,13236,16471,16953,9715,17572,17400,0,5431,7446,6607,23957,14564,20868,19743,11098,17319,14478,11967,16201,14262,14478,14070,11254,11203,11143,6981,7691,4999,5256,9409,5661,5086,3207,3536,7235,7406,10364,10363,6960,8459,8139,10978,9117,9564,9646,9343,9124,6694,10707,10239,11128,11281,15804,15812,17144,19988,19237,17734,18504,17939,17986,18300,17843,16302,13544,12032,11369,13784,8934,9050,8990,8566,8754,7723,6758,9687,7598,6438,6386
68,15698,10555,14881,13354,8750,14329,13538,13104,9889,11286,7262,12794,12421,15500,17643,12510,10922,12697,11480,9594,12376,11480,21243,19596,20589,18999,19007,16257,18778,5706,3788,6590,5558,4621,4484,17961,2276,2776,7238,2564,4440,908,3306,15492,15276,14643,15944,16732,24050,18436,10680,8203,8751,12625,11562,12608,17960,14251,13054,10206,11044,13924,17159,16055,8818,15255,16502,5220,0,4448,3076,24253,15252,20480,20430,7809,14030,11189,10476,16889,10972,11189,10781,7547,7496,7435,3360,3626,5534,4297,6119,4299,5031,3348,3183,6338,6508,10762,10761,7395,9478,9158,11961,10136,10583,10665,10326,10106,7486,10926,9964,11393,11546,15668,15669,16550,22990,19182,17680,18449,18922,19328,18245,18826,17285,14527,8743,8080,10495,5723,5840,5780,5355,5746,5580,5860,7296,4121,3440,3388
69,12513,8064,11111,10863,6259,11838,11619,11186,9149,10546,5930,12054,11681,14760,15298,11770,7737,9511,9561,9412,9191,9561,19324,18856,17403,17081,18267,14339,18038,2906,661,3374,2758,1133,7216,16909,5512,6331,10788,7011,9258,5354,5829,14752,14536,13903,14026,14813,22929,16517,8189,5956,6112,9440,9071,9784,16041,11065,10563,9466,10862,13184,16419,14136,7554,12764,14584,7714,4285,0,5807,22334,14511,18561,19690,4747,10069,8004,7986,16442,7787,8004,7569,4889,4838,4778,3524,3790,6177,4760,3689,4492,6056,6232,6596,5796,5966,8843,8843,7243,9296,8977,12032,9955,10401,10483,10804,10584,8667,13282,11389,12818,12971,17094,17094,17975,25216,20608,19105,18862,19400,19446,19670,19304,17763,15005,6252,5589,7310,2996,3341,3047,4163,4315,4666,5385,5362,2639,2786,2734
70,17296,12847,16782,15646,11042,17108,15439,15006,11790,13187,9163,14695,14322,17402,19544,14411,12520,14294,13381,11495,13974,13381,23144,21498,22187,20900,20908,18158,20679,7003,6310,7887,6855,5229,1290,18538,4177,4677,6602,4307,5728,2809,5207,17393,17177,16544,17845,18633,25951,20337,12972,10740,10895,14223,13854,14567,19861,15848,15346,12107,12945,15825,19060,17956,10719,17548,18403,6860,3262,6043,0,26154,17153,22381,22332,9530,14852,12787,12769,18790,12570,12787,12353,9672,9622,9561,6383,6649,7435,6198,8472,6603,6932,5249,5084,8239,8409,12663,12662,9296,11379,11060,13862,12038,12484,12566,12227,12008,9387,12827,11865,14495,14648,17569,17570,18451,23354,21083,19581,20351,20823,21229,20146,20727,19186,16428,11035,10373,12093,7780,8124,7830,8947,8769,8726,7761,10145,7422,6464,6412
71,20601,14905,13927,14609,15150,13716,12584,12371,15425,14729,16310,13656,13282,10072,7777,13372,18219,17003,13293,16259,19251,13294,9181,7208,12826,6788,11513,9428,11284,21669,22571,20200,21521,22094,26848,29205,23507,24274,29601,24928,25272,23271,24702,10589,10900,10613,9115,7949,595,7062,15030,16229,17154,18101,16933,21017,11335,20302,14706,15133,14073,13303,8874,8795,14916,14409,8178,24661,23679,22447,25440,0,10954,3769,6374,18588,20675,17573,14204,8286,17520,17573,19366,18908,18959,19809,20754,20343,20576,19855,18184,20260,20455,21335,21663,17330,17229,14566,14565,18080,16144,16356,16082,15343,16484,16566,18034,18339,18831,21574,21106,24788,24940,24380,24381,25262,32175,25933,24430,23138,24092,24138,26129,20267,22039,19282,16364,17313,18273,19050,18570,18923,18727,18111,18243,17999,16442,19968,21337,21285
72,21064,11672,10694,11376,11160,11019,9350,9138,6057,5361,9521,3943,3915,2857,3955,4057,14986,17466,9753,6892,16392,9753,15082,4375,15278,9719,5802,7530,5573,16631,15437,15162,16483,16364,19284,29668,15943,16133,20909,16625,16276,15707,15706,1583,54,1975,7217,5441,10363,9155,11797,11191,13032,15523,13280,21480,11798,20765,11473,5766,4706,2539,2085,4974,9272,14872,5670,15664,16115,16717,17875,10958,0,7868,5209,13550,21138,14339,10410,3480,14287,14339,15900,14882,14831,14771,12911,12500,11000,12291,12599,12696,11461,12749,13078,9106,9095,7554,7554,8533,6776,6988,6452,5630,7117,7199,8404,8709,9464,12207,11739,15420,15573,14751,14751,15632,22838,16303,14800,13508,14756,14802,16793,10930,12410,9652,12242,13285,15249,13003,12494,12848,12459,11944,10913,10669,10530,13646,13494,13442
73,16810,11114,10136,10819,11360,9925,8793,8580,12288,11592,12519,10519,10146,6936,4640,10235,14428,13213,9503,13123,15460,9503,8542,4973,9397,3358,9278,5638,9049,17878,18780,16409,17730,18303,23057,25415,19717,20484,25811,21137,21482,19481,20911,7452,7763,7476,5324,4812,3178,3633,11239,12439,13364,14310,13143,17227,7545,16511,10916,11996,10937,10167,5738,5659,11126,10618,5042,20870,19888,18656,21649,3772,7817,0,4138,14798,16884,13782,10413,5149,13730,13782,15576,15118,15169,16018,16963,16553,17232,16065,14393,16469,16665,17544,17873,13540,13438,10775,10775,14764,13007,13219,12946,12207,13348,13430,14897,15203,15695,18438,17970,21651,21804,21244,21245,22126,29038,22796,21294,20002,20955,21002,22993,17130,18903,16145,12574,13522,14483,15260,14779,15133,14937,14321,14453,14208,12651,16177,17546,17494
74,20007,14311,13333,14016,14556,13122,11990,11777,11244,10548,15716,9129,9101,5105,6203,9244,17625,16409,12700,12078,18657,12700,12681,834,14222,7497,5139,8834,4910,21075,21977,19606,20927,21500,24470,28612,21129,21320,26096,21812,21462,20894,20892,5167,5162,6049,8521,6095,5790,7772,14436,15636,16560,17507,16340,20423,10742,19708,14112,10952,9892,7725,4333,7221,14323,13815,6325,20851,21301,21853,23062,6385,5216,4138,0,17995,20081,16979,13610,5727,16926,16979,18773,18315,18366,19215,18097,17687,16187,17477,17590,17882,16647,17936,18264,14292,14282,13972,13972,13719,11962,12175,11639,10817,12303,12385,13590,13896,14650,17393,16925,20607,20759,19270,19271,19541,25489,21862,20359,16446,17406,17452,19443,13581,15107,14498,15770,16719,17680,18457,17976,18329,18134,17517,16100,15855,15848,19374,18680,18628
75,8590,3874,7404,6673,2770,7648,7081,6280,7891,7983,4138,10796,10423,13502,10760,10512,3815,5589,5245,8513,5268,5245,14786,15511,13481,12543,17009,9801,16780,4056,5382,2587,3908,4742,10508,15960,9742,10504,14081,10293,11860,8636,9912,13494,13277,12645,9488,10275,18391,11979,3999,2392,1643,5518,4881,7264,11503,7143,6373,8208,9963,11925,12492,9598,4574,8574,10046,11248,8002,5095,9100,17796,13253,14023,16345,0,6922,4081,4497,11904,3865,4081,3673,1574,1523,1463,4679,4268,7163,5836,2109,5679,7043,7570,7898,4538,4708,5863,5862,6226,8397,8078,11133,9056,9502,9584,9905,9685,8564,12383,11916,13905,14058,17036,17036,17917,25158,20550,19047,17963,18501,18547,19612,18405,16864,14106,2062,1084,3387,2240,2495,2290,2652,3198,3625,4546,3570,3188,5262,5210
76,2065,7503,10960,8372,7987,10420,12130,12504,14123,13365,10371,17029,16655,19815,17519,16745,4235,4168,9858,14745,3134,9859,15029,19920,8898,13936,24759,14157,24530,9072,10398,7603,8924,9847,15613,9435,13771,14590,19186,16222,17655,13366,14088,20964,20959,20355,14736,17691,21291,13373,7378,8074,5889,4096,6581,342,11746,617,8072,14440,16196,18158,18616,16680,10807,8764,17921,17481,12544,10200,14205,20697,21013,16923,20754,6841,0,4502,9111,18028,4554,4502,3991,5323,5374,5434,10912,10501,13396,12069,8342,11912,13275,13803,14131,10770,10941,11244,11244,12459,14630,14310,17366,15288,15735,15817,16138,15918,14797,18616,18148,20138,20290,23268,23269,24150,31391,26782,25280,24195,24733,24780,25845,24637,23096,20339,6917,6740,3995,8682,8728,9081,8885,9431,9858,10779,9803,8928,9745,9797
77,6154,3002,4601,3871,5242,4846,6556,5219,11378,9378,7625,14283,13910,13434,10515,13999,646,2420,5357,12000,2053,5357,13056,17947,10266,11963,22786,9555,22557,7119,8445,5650,6971,7805,13571,13524,11729,12548,17144,14180,15613,11324,12046,13962,14273,13975,9242,10030,19318,11400,2877,5328,2529,2349,2079,4828,9772,4706,3571,11695,13451,15413,12247,9353,8061,5772,9800,14735,10502,8158,12163,18724,14327,14950,18781,4096,4485,0,4609,11659,52,0,2818,3472,3522,3583,8166,7756,10650,9324,5596,9166,10530,11057,11386,8025,8195,7257,7257,9713,11884,11565,14620,12543,12989,13071,13392,13173,12052,15871,15403,17392,17545,20523,20524,21404,28645,24037,22534,21450,21988,22034,23100,21892,20351,17593,3887,3994,1282,5937,5982,6335,6140,6685,7112,8034,7058,6182,7286,7338
78,10514,1943,4005,3656,1840,5132,3463,2662,5553,4810,3364,8458,8085,10062,7142,8174,5257,6082,1042,6383,6663,1042,11168,11893,11365,8925,14671,6183,14442,7601,8985,6132,7453,8508,14274,17884,10562,11329,16656,11983,12327,10326,11756,10590,10940,10307,5870,6657,14773,8361,2068,2643,3844,5794,3550,9188,7885,9066,3560,5870,7331,9588,8875,5981,1794,6600,6428,11715,10491,8860,12866,14179,10916,10405,12727,4500,8846,4610,0,8286,4558,4610,6404,5598,5649,5709,7168,6757,7630,6910,4598,7314,7510,8390,8718,4385,4284,2689,2689,6282,6455,6668,9586,7509,8310,8392,9683,9792,9748,12490,12023,14898,15051,17142,17143,18024,25265,20657,19154,17196,17734,17781,18072,17097,16097,13340,3054,4002,5311,5464,4984,5337,5141,4525,5298,5054,3397,6381,7751,7699
79,19316,9004,8025,8708,9249,8351,6682,6470,7665,6968,10408,5895,5522,1370,1287,5611,12318,13143,7392,8499,13724,7392,13333,4895,13530,7970,8140,4862,7911,15768,16670,14298,15620,16192,20947,27920,17606,17740,22517,18233,17883,17370,17313,2101,3426,2380,4548,2773,7695,7406,9129,10328,11253,12855,10612,19732,10050,19017,8805,7373,6313,5543,1400,2306,9015,9819,3002,17272,17778,16545,19538,8289,3480,5200,5729,12687,19390,11671,8302,0,11619,11671,13465,13007,13058,13908,14852,14442,12608,13954,12282,14358,13068,14357,14685,11429,11328,8665,8664,10140,8383,8596,8322,7583,8724,8806,10274,10579,11071,13814,13346,17028,17180,16620,16621,17502,24696,18173,16670,15378,16613,16660,16254,12788,14279,11521,10463,11411,12372,13149,12669,13022,12826,12210,12342,12098,10540,14066,15436,15384
80,6206,2949,4549,3818,5169,4793,6503,5167,10068,9326,7678,14336,13962,13382,10462,14052,699,2473,5304,12052,2105,5305,13003,17895,10318,11911,22734,9503,22505,7171,8497,5702,7023,7857,13624,13576,11782,12600,17196,14232,15666,11377,12098,13910,14220,13923,9190,9978,19266,11347,2824,5380,2137,2402,2026,4880,9720,4758,3518,10386,13503,15465,12195,9301,6310,5720,9748,14788,10554,8210,12215,18671,14275,14898,18729,4148,4538,52,4557,11606,0,52,2870,3524,3575,3635,8218,7808,10703,9376,5648,9218,10582,11110,11438,8077,8248,7205,7204,9766,11937,11617,14673,12595,13042,13124,13444,13225,12104,15923,15455,17444,17597,20575,20576,21457,28698,24089,22587,21502,22040,22087,23152,21944,20403,17646,3834,4047,1334,5989,6034,6388,6192,6738,7165,8086,7110,6235,7338,7390
81,6154,3002,4601,3871,5242,4846,6556,5219,11378,9378,7625,14283,13910,13434,10515,13999,646,2420,5357,12000,2053,5357,13056,17947,10266,11963,22786,9555,22557,7119,8445,5650,6971,7805,13571,13524,11729,12548,17144,14180,15613,11324,12046,13962,14273,13975,9242,10030,19318,11400,2877,5328,2529,2349,2079,4828,9772,4706,3571,11695,13451,15413,12247,9353,8061,5772,9800,14735,10502,8158,12163,18724,14327,14950,18781,4096,4485,0,4609,11659,52,0,2818,3472,3522,3583,8166,7756,10650,9324,5596,9166,10530,11057,11386,8025,8195,7257,7257,9713,11884,11565,14620,12543,12989,13071,13392,13173,12052,15871,15403,17392,17545,20523,20524,21404,28645,24037,22534,21450,21988,22034,23100,21892,20351,17593,3887,3994,1282,5937,5982,6335,6140,6685,7112,8034,7058,6182,7286,7338
82,5771,4225,7404,6673,4828,7648,8330,7529,10829,10921,7076,13734,13361,16440,12009,13450,2536,4318,7303,11451,2157,7303,15858,16760,11221,14766,19947,11050,19718,5952,7278,4483,5804,6638,12404,13142,10562,11381,15977,13013,14446,10157,10879,16432,16215,15583,10737,11524,19640,14202,4350,4779,2730,4247,4881,4282,12575,4324,6373,11146,12901,14863,13742,10848,7512,8575,11295,14186,9335,6991,10996,19046,16191,15272,17594,3617,4103,2802,6555,13153,2855,2802,0,1947,1998,2058,7617,7206,10101,8774,5047,8617,9981,10508,10836,7476,7646,8801,8800,9164,11335,11016,14071,11994,12440,12522,12843,12623,11502,15321,14854,16843,16996,19974,19974,20855,28096,23488,21985,20901,21439,21485,22550,21343,19802,17044,3758,3445,1434,5390,5433,5786,5590,6136,6563,7484,6508,5636,6739,6791
83,7072,4159,7680,6950,3651,7925,7962,7160,9246,9339,5494,12152,11778,14858,11640,11868,3182,4956,6126,9868,3458,6126,16135,16392,12522,13423,18364,10681,18135,4005,5331,2536,3857,4691,10457,14442,8615,9434,14030,11066,12499,8210,8932,14849,14633,14000,10368,11156,19272,12860,4284,3602,1553,4885,5158,5946,12852,5625,6650,9563,11319,13281,13373,10479,5929,8852,10926,10817,7388,5044,9049,18677,14609,14904,17226,1564,5404,3449,5378,12785,3232,3449,1990,0,51,111,4948,5624,8519,7192,3464,7034,8398,8926,9254,5893,6063,7218,7218,7582,9752,9433,12489,10411,10857,10939,11260,11041,9920,13739,13271,14348,14501,18391,18392,19273,26514,21905,20403,19318,19856,19903,20968,19760,18219,15461,2581,2268,2755,3417,3850,3468,4008,4554,4980,5902,4926,3663,4589,4641
84,7123,4210,7731,7001,3702,7976,8013,7211,9195,9288,5443,12101,11727,14807,11691,11816,3233,5007,6176,9817,3509,6177,16186,16443,12573,13474,18314,10732,18084,3954,5280,2485,3806,4640,10406,14493,8564,9383,13979,11015,12448,8160,8881,14798,14582,13949,10419,11207,19323,12910,4334,3653,1604,4936,5209,5997,12902,5676,6701,9512,11268,13230,13424,10530,5878,8902,10977,10766,7337,4993,8998,18728,14558,14955,17277,1513,5455,3500,5429,12836,3283,3500,2041,51,0,60,4897,5573,8468,7141,3413,6984,8347,8875,9203,5842,6012,7167,7167,7531,9702,9382,12438,10360,10806,10888,11209,10990,9869,13688,13220,14298,14450,18340,18341,19222,26463,21854,20352,19267,19805,19852,20917,19709,18168,15410,2632,2319,2806,3366,3800,3417,3957,4503,4930,5851,4875,3612,4538,4590
85,7183,4270,7792,7061,3762,8036,8073,7272,9135,9228,5382,12040,11667,14746,11752,11756,3294,5068,6237,9757,3569,6237,16246,16503,12634,13535,18253,10793,18024,3894,5220,2425,3746,4579,10346,14554,8504,9322,13919,10955,12388,8099,8820,14738,14522,13889,10480,11267,19383,12971,4395,3713,1665,4996,5269,6058,12963,5736,6761,9452,11208,13170,13484,10590,5818,8963,11038,10705,7277,4932,8938,18788,14497,15015,17337,1452,5515,3560,5489,12896,3344,3560,2101,111,60,0,4837,5512,8407,7081,3353,6923,8287,8814,9143,5782,5952,7107,7106,7470,9641,9322,12377,10300,10746,10828,11149,10929,9809,13628,13160,14237,14390,18280,18280,19161,26402,21794,20291,19207,19745,19791,20856,19649,18108,15350,2692,2379,2866,3306,3739,3356,3896,4442,4869,5790,4814,3552,4478,4530
86,12338,7195,10242,9994,5390,10969,10506,10073,6689,8086,4032,9594,9221,12300,14442,9310,7563,9337,8448,6393,9016,8448,18211,16396,17229,15968,15807,13226,15578,6030,2955,4181,5882,4257,7962,19857,5346,6253,10716,6042,7918,4386,5662,12292,12075,11442,12913,13700,20850,15404,7320,4843,5391,9266,8202,11012,14928,10891,9694,7006,7844,10723,13959,13024,5587,11895,13471,7915,3752,3615,6554,21222,12051,17448,17230,4449,10670,7829,7117,13688,7613,7829,7421,5781,5730,5670,0,266,3830,1952,2759,1699,3710,4240,4568,3107,3278,7730,7730,4195,6278,5958,8761,6936,7382,7464,7126,6906,5238,9604,9136,10431,10584,14256,14257,15138,22379,17770,16268,15183,15721,15768,16833,15625,14084,11327,5383,4720,7135,2363,2480,2420,1995,2386,2220,1862,3937,1542,1011,959
87,12365,7222,10268,10020,5416,10995,10533,10099,6715,8112,4058,9620,9247,12326,14469,9336,7589,9363,8474,6420,9043,8475,18238,16422,17255,15994,15833,13252,15604,6021,2946,4165,5873,4248,7954,19848,5337,6245,10707,6034,7909,4377,5654,12318,12102,11469,12939,13727,20876,15430,7346,4870,5418,9292,8228,11039,14954,10917,9720,7032,7870,10750,13985,13050,5614,11922,13497,7347,3743,3607,6545,21248,12078,17475,17257,4475,10696,7856,7143,13715,7639,7856,7448,4740,4689,4629,420,0,3856,1944,2785,1690,3736,3775,4104,3134,3304,7757,7756,4221,6304,5984,8787,6963,7409,7491,7152,6932,5264,9630,9163,10423,10575,14283,14283,15164,22405,17797,16294,15210,15748,15794,16860,15652,14111,11353,5410,4747,7162,2180,2506,2230,2022,2412,2247,1888,3963,1526,1003,951
88,14852,9709,11644,12326,7904,11969,10300,9867,4770,6167,4025,7676,7302,10382,12524,7392,10076,11851,8242,4475,11530,8242,18005,14478,18202,15762,13889,13020,13660,8364,5289,7449,8216,6591,8625,23289,5284,5588,10364,6080,5731,5049,5160,10374,10157,9524,12707,14010,18932,15198,9834,7009,7905,11779,10716,13526,14722,13405,12423,5088,5926,8805,12040,12818,5580,13437,13265,5119,5456,5950,7217,19526,10133,16437,15312,6963,13184,10343,7832,11770,10126,10343,9935,8295,8244,8183,3120,3556,0,1632,5274,2037,723,2204,2533,3100,3271,5851,5851,2529,4359,4040,6843,5018,5464,5546,5207,4988,3023,7036,6568,8449,8601,11688,11689,12570,19811,15202,13700,13265,13803,13850,14265,13707,12166,9408,7897,7234,9649,4798,4915,4855,4430,4619,3588,2623,5552,4181,3346,3294
89,14072,8928,11756,11727,7123,12082,10413,9980,6764,8161,4138,9670,9296,12376,14518,9386,9296,11070,8355,6469,10750,8355,18118,16472,18315,15875,15882,13133,15654,7269,4194,6212,7121,5495,8161,21071,4820,5587,10521,6241,5887,4584,5317,12367,12151,11518,12820,13607,20926,15311,9053,6577,7125,10999,9935,11523,14835,12624,11427,7081,7920,10799,14034,12930,5693,13550,13378,5276,4992,4854,6753,21128,12127,17355,17306,6182,12404,9563,7945,13764,9346,9563,9155,6780,6729,6669,2052,2318,2409,0,4492,405,2002,2361,2689,3213,3383,7637,7637,4271,6353,6034,8837,7012,7458,7540,7201,6982,5314,7885,6922,8352,8504,12627,12627,13508,20749,16141,14638,15408,15797,16286,15203,15701,14160,11402,7117,6454,8869,4097,4214,4154,3729,4119,2809,2735,5665,3086,2250,2198
90,9942,4798,7845,7597,2993,8572,8110,7676,6078,7454,2606,8984,8610,11690,11788,8700,5166,6940,6051,6700,6620,6052,15815,15786,14832,13571,15197,10829,14968,5688,4708,3658,5540,4230,9997,17312,7928,8690,13570,8479,10047,6822,8099,11682,11465,10832,10516,11304,19420,13007,4923,2447,2995,6869,5805,8616,12532,8494,7297,6396,8151,10113,13348,10627,4045,9499,11074,9436,6188,4584,8589,18825,11441,15052,16620,2052,8274,5433,4720,12933,5216,5433,5025,3384,3334,3273,2865,2454,5351,4023,0,3865,5230,5756,6085,2725,2896,5334,5333,4414,6585,6265,9321,7243,7690,7772,8092,7873,6752,10571,10103,12091,12244,15223,15224,16105,23346,18737,17235,16150,16688,16735,17800,16592,15051,12294,2987,2324,4739,904,361,714,840,1384,1813,2732,2038,2135,3448,3396
91,13459,8316,11584,11114,6510,11909,10241,9807,6592,7989,3965,9497,9124,12203,14346,9213,8683,10457,8182,6297,10137,8183,17946,16299,18142,15702,15710,12960,15481,6918,3843,5918,6770,5145,7756,20720,4416,5183,10510,5836,5997,4180,5426,12195,11979,11346,12647,13435,20753,15138,8440,5964,6512,10386,9322,12133,14662,12011,10814,6909,7747,10627,13862,12758,5521,13378,13205,5385,4587,4504,6348,20956,11954,17183,17134,5570,11791,8950,7772,13592,8733,8950,8542,6902,6851,6790,1701,1967,2236,390,3880,0,2116,2243,2572,3041,3211,7465,7464,4098,6181,5861,8664,6840,7286,7368,7029,6809,5141,7994,7032,8461,8614,12736,12737,13618,20858,16250,14748,15517,15625,15671,15313,15529,13988,11230,6504,5841,8256,3484,3601,3541,3116,3506,2196,2563,5493,2735,1900,1848
92,14881,9738,11673,12355,7933,11998,10330,9896,5463,6860,4054,8368,7995,11075,13217,8084,10106,11880,8271,5138,11559,8272,18034,15170,18231,15791,14582,13049,14352,8394,5318,7478,8246,6620,8429,23093,5089,5112,9889,5605,5255,4853,4685,11066,10850,10217,12736,13524,19624,15227,9863,7038,7934,11808,10745,13555,14751,13434,12452,5780,6589,9498,12733,12847,5609,13466,13294,4644,5260,5979,7021,20219,10826,17130,16005,6992,13213,10372,7861,12463,10156,10372,9964,8324,8273,8212,3149,3585,849,1662,5303,2066,0,1729,2057,3129,3300,7554,7553,2969,5022,4703,7535,5681,6127,6209,5900,5680,3135,7147,6680,8748,8901,11800,11800,12681,19922,15314,13811,14581,14496,14542,14376,14400,12858,10101,7926,7263,9678,4828,4944,4884,4460,4648,3617,2652,5581,4210,3375,3323
93,15940,10797,12732,13414,8992,13057,11388,10955,6602,7999,5113,9508,9134,12214,14356,9224,11164,12939,9330,5976,12618,9330,19093,16310,19290,16850,15721,14108,15492,8602,5700,7450,8454,8576,7221,21884,3880,3971,8747,4463,4114,3644,3543,12206,11989,11356,13795,14582,20764,16286,10922,8097,8993,12867,11804,14614,15810,14493,13511,6920,7426,10637,13872,13906,6668,14525,14353,3502,4052,6360,5812,21358,11965,18269,17144,8051,14272,11431,8920,13602,11214,11431,11023,9383,9332,9271,3791,4644,2401,2067,6362,2471,2039,0,328,4188,4359,8612,8612,4361,5860,5540,8380,6518,6965,7047,6744,6525,4095,8108,6971,8401,8553,12676,12676,13557,20798,16190,14687,15457,15340,15387,15252,15244,13703,10946,8985,8322,10737,5886,6003,5943,5518,5707,4676,3711,6640,4553,3718,3666
94,16268,11125,13060,13743,9320,13386,11717,11283,6931,8328,5441,9836,9463,12542,14685,9552,11493,13267,9659,6304,12946,9659,19422,16638,19619,17178,16049,14436,15820,10184,5836,7586,10036,8411,7056,21719,3715,4300,9076,4792,4442,3479,3872,12534,12318,11685,14123,14911,21092,16615,11250,8426,9322,13196,12132,14942,16139,14821,13840,7248,7755,10966,14201,14234,6997,14854,14681,3831,3887,6497,5647,21687,12294,18598,17472,8379,14600,11760,9248,13931,11543,11760,11352,9711,9660,9600,3928,4194,2729,2395,6691,2800,2367,328,0,4517,4687,8941,8940,4690,6188,5869,8708,6847,7293,7375,7073,6853,4424,8436,7300,8729,8882,13004,13005,13886,21127,16518,15016,15786,15669,15715,15581,15573,14032,11274,9314,8651,11066,6215,6332,6272,5847,6035,5004,4039,6969,4689,3854,3802
